"Family","Genus","epithet","max","q975","n","type","maxF","q975F","nF","typeF","nT","nsap","finalType"
"Urticaceae","Cecropia","distachya",11.4,11.2625,2,"understory?",16,15.9,5,"subcanopy",7,0,"subcanopy"
"Rutaceae","Zanthoxylum","djalma-batistae",18.2,18.035,3,"subcanopy",-Inf,NA,0,NA,3,0,"subcanopy"
"Malpighiaceae","Byrsonima","duckeana",17.9,17.9,1,"subcanopy",11,11,8,"understory?",9,0,"subcanopy"
"Melastomataceae","Mouriri","duckeana",20.8,20.8,1,"subcanopy",-Inf,NA,0,NA,1,0,"subcanopy"
"Myristicaceae","Iryanthera","elliptica",5.7,5.7,1,"understory?",22,21.55,10,"subcanopy",11,0,"subcanopy"
"Apocynaceae","Aspidosperma","eteanum",17.8,17.8,1,"subcanopy",-Inf,NA,0,NA,1,0,"subcanopy"
"Sapotaceae","Pouteria","flavilatex",13.4,13.325,2,"understory?",24,24,13,"subcanopy",15,0,"subcanopy"
"Nyctaginaceae","Neea","floribunda",20.3,20.185,2,"subcanopy",-Inf,NA,0,NA,2,0,"subcanopy"
"Sapotaceae","Pouteria","freitasii",22.9,22.325,3,"subcanopy",23,23,39,"subcanopy",42,0,"subcanopy"
"Lauraceae","Aiouea","grandifolia",22.4,22.4,1,"subcanopy",23,22.675,14,"subcanopy",15,0,"subcanopy"
"Euphorbiaceae","Maprounea","guianensis",20,19.345,3,"subcanopy",-Inf,NA,0,NA,3,0,"subcanopy"
"Simaroubaceae","Simaba","guianensis",15.1,14.25,6,"understory?",19,18.625,4,"subcanopy",10,0,"subcanopy"
"Euphorbiaceae","Conceveiba","hostmannii",17.1,16.88,2,"subcanopy",27,25,65,"subcanopy",67,0,"subcanopy"
"Annonaceae","Rollinia","insignis",15.6,15.3775,2,"understory?",23,22.4,13,"subcanopy",15,0,"subcanopy"
"Aquifoliaceae","Ilex","inundata",20.3,20.3,1,"subcanopy",-Inf,NA,0,NA,1,0,"subcanopy"
"Moraceae","Brosimum","lactescens",18.1,18.1,1,"subcanopy",20,20,15,"subcanopy",16,0,"subcanopy"
"Myristicaceae","Iryanthera","lancifolia",18.2,18.2,1,"subcanopy",-Inf,NA,0,NA,1,0,"subcanopy"
"Chrysobalanaceae","Licania","latifolia",7.7,7.7,1,"understory?",19,19,1,"subcanopy",2,0,"subcanopy"
"Urticaceae","Pourouma","melinonii",10,10,1,"understory?",18,17.8,5,"subcanopy",6,0,"subcanopy"
"Sapindaceae","Talisia","microphylla",6.7,6.675,2,"understory?",18,17.325,10,"subcanopy",12,0,"subcanopy"
"Lecythidaceae","Couratari","multiflora",21,20.37,4,"subcanopy",15,15,5,"understory?",9,0,"subcanopy"
"Sapotaceae","Pouteria","multiflora",13.8,13.8,1,"understory?",23,21.65,19,"subcanopy",20,0,"subcanopy"
"Lauraceae","Aiouea","myristicoides",15.1,15.02,2,"understory?",17,17,7,"subcanopy",9,0,"subcanopy"
"Vochysiaceae","Vochysia","obidensis",9.6,9.6,1,"understory?",26,24,57,"subcanopy",58,0,"subcanopy"
"Lauraceae","Ocotea","oblonga",11.3,11.3,1,"understory?",25,25,1,"subcanopy",2,0,"subcanopy"
"Urticaceae","Coussapoa","orthoneura",19,19,1,"subcanopy",17,17,1,"subcanopy",2,0,"subcanopy"
"Chrysobalanaceae","Licania","pallida",19,18.475,6,"subcanopy",22,21.65,15,"subcanopy",21,0,"subcanopy"
"Humiriaceae","Vantanea","parviflora",21.1,21.1,1,"subcanopy",28,25,81,"subcanopy",82,0,"subcanopy"
"Fabaceae","Inga","pezizifera",20.7,20.4225,2,"subcanopy",19,19,1,"subcanopy",3,0,"subcanopy"
"Lecythidaceae","Lecythis","poiteaui",13.4,13.4,1,"understory?",19,19,41,"subcanopy",42,0,"subcanopy"
"Salicaceae","Laetia","procera",25.9,25.185,14,"subcanopy",21,21,17,"subcanopy",31,0,"subcanopy"
"Lecythidaceae","Eschweilera","rankiniae",6.4,6.4,1,"understory?",21,20,62,"subcanopy",63,0,"subcanopy"
"Lecythidaceae","Corythophora","rimosa",6.3,6.3,1,"understory?",24,24,28,"subcanopy",29,0,"subcanopy"
"Chrysobalanaceae","Licania","rufescens",10.6,10.6,1,"understory?",20,20,13,"subcanopy",14,0,"subcanopy"
