"Family","Genus","epithet","max","q975","n","type","maxF","q975F","nF","typeF","nT","nsap","finalType"
"Capparaceae","Neocalyptrocalyx","leprieurii",8.1,5.105,80,"understory?",-Inf,NA,0,NA,80,79,"understory?"
"Piperaceae","Piper","alatabaccum",23.5,7.81749999999992,72,"understory?",-Inf,NA,0,NA,72,70,"understory?"
"Chrysobalanaceae","Hirtella","physophora",10.1,7.79,69,"understory?",-Inf,NA,0,NA,69,59,"understory?"
"Linaceae","Roucheria","punctata",12.3,10.5,77,"understory?",-Inf,NA,0,NA,77,57,"understory?"
"Apocynaceae","Tabernaemontana","undulata",9.7,9.0125,72,"understory?",-Inf,NA,0,NA,72,55,"understory?"
"Sapindaceae","Matayba","inelegans",18.5,12.47,69,"understory?",14,13.775,10,"understory?",79,49,"understory?"
"Simaroubaceae","Simaba","cedron",11.9,10.09,82,"understory?",12,11.95,3,"understory?",85,48,"understory?"
"Urticaceae","Pourouma","cuspidata",11.2,10.195,83,"understory?",-Inf,NA,0,NA,83,47,"understory?"
"Araliaceae","Schefflera","morototoni",6.4,5.8,49,"understory?",-Inf,NA,0,NA,49,46,"understory?"
"Meliaceae","Trichilia","pleeana",11.8,9.325,51,"understory?",11,11,5,"understory?",56,45,"understory?"
"Burseraceae","Protium","aracouchini",15.6,11.73,69,"understory?",14,13.3,29,"understory?",98,44,"understory?"
"Burseraceae","Protium","ferrugineum",12.4,10.5175,60,"understory?",12,11.975,2,"understory?",62,44,"understory?"
"Phyllanthaceae","Amanoa","guianensis",18.1,14.96,89,"understory?",-Inf,NA,0,NA,89,44,"understory?"
"Rubiaceae","Duroia","macrophylla",13.1,12.5125,66,"understory?",14,14,14,"understory?",80,44,"understory?"
"Arecaceae","Iriartella","setigera",5.8,5.5625,46,"understory?",-Inf,NA,0,NA,46,44,"understory?"
"Sapotaceae","Chromolucuma","rubriflora",22.1,12.15,61,"understory?",13,13,5,"understory?",66,42,"understory?"
"Melastomataceae","Miconia","dispar",9.7,8.7575,58,"understory?",14,13.45,12,"understory?",70,40,"understory?"
"Sapindaceae","Cupania","scrobiculata",14,9.88,57,"understory?",-Inf,NA,0,NA,57,40,"understory?"
"Chrysobalanaceae","Hirtella","duckei",7.4,5.8925,42,"understory?",-Inf,NA,0,NA,42,39,"understory?"
"Myrsinaceae","Cybianthus","guyanensis",6.7,6.55,46,"understory?",-Inf,NA,0,NA,46,38,"understory?"
"Meliaceae","Trichilia","areolata",12,9.81,67,"understory?",13,13,25,"understory?",92,37,"understory?"
"Rhizophoraceae","Cassipourea","guianensis",16.8,13.31,53,"understory?",-Inf,NA,0,NA,53,37,"understory?"
"Humiriaceae","Vantanea","guianensis",23.6,13.1,61,"understory?",-Inf,NA,0,NA,61,37,"understory?"
"Picramniaceae","Picramnia","juniniana",8.9,8,48,"understory?",-Inf,NA,0,NA,48,37,"understory?"
"Rubiaceae","Cordiera","myrciifolia",10.5,10.01,53,"understory?",-Inf,NA,0,NA,53,37,"understory?"
"Olacaceae","Dulacia","candida",13.6,12.6,61,"understory?",0,0,1,"understory?",62,36,"understory?"
"Hypericaceae","Vismia","cauliflora",6.3,5.94,37,"understory?",-Inf,NA,0,NA,37,35,"understory?"
"Fabaceae","Cynometra","marginata",14.4,13.7525,60,"understory?",-Inf,NA,0,NA,60,34,"understory?"
"Meliaceae","Trichilia","micropetala",13,10.9325,62,"understory?",13,13,5,"understory?",67,34,"understory?"
"Burseraceae","Protium","nitidifolium",11,8.4775,54,"understory?",15,14.4,13,"understory?",67,34,"understory?"
"Rubiaceae","Coussarea","racemosa",13,12.5,61,"understory?",15,14.3,15,"understory?",76,34,"understory?"
"Fabaceae","Swartzia","cuspidata",13.3,10.66,67,"understory?",-Inf,NA,0,NA,67,33,"understory?"
"Sapindaceae","Allophylus","latifolius",11.6,10.53,88,"understory?",10,10,1,"understory?",89,32,"understory?"
"Sapindaceae","Matayba","purgans",8.5,6.995,42,"understory?",13,13,2,"understory?",44,32,"understory?"
"Fabaceae","Swartzia","manausensis",18.2,11.6,55,"understory?",13,12.85,7,"understory?",62,31,"understory?"
"Myrtaceae","Myrcia","bracteata",10.5,8.41,50,"understory?",12,11.925,4,"understory?",54,30,"understory?"
"Malvaceae","Quararibea","ochrocalyx",20.8,13.3375,54,"understory?",-Inf,NA,0,NA,54,30,"understory?"
"Simaroubaceae","Simaba","polyphylla",12.7,10.8,73,"understory?",14,14,21,"understory?",94,30,"understory?"
"Rubiaceae","Ixora","intensa",5.1,4.82,29,"understory?",-Inf,NA,0,NA,29,29,"understory?"
"Monimiaceae","Mollinedia","ovata",5.7,5.4825,30,"understory?",-Inf,NA,0,NA,30,29,"understory?"
"Burseraceae","Protium","grandifolium",12.7,11.6,55,"understory?",12,12,4,"understory?",59,28,"understory?"
"Fabaceae","Derris","negrensis",4.7,4.4975,28,"understory?",-Inf,NA,0,NA,28,28,"understory?"
"Sapotaceae","Pouteria","coriacea",9.8,8.6625,36,"understory?",11,11,4,"understory?",40,27,"understory?"
"Rubiaceae","Duroia","saccifera",12,11.565,55,"understory?",13,13,16,"understory?",71,27,"understory?"
"Arecaceae","Bactris","tomentosa",4.3,4.025,23,"understory?",-Inf,NA,0,NA,23,23,"understory?"
"Burseraceae","Protium","elegans",22.2,12.8225,32,"understory?",-Inf,NA,0,NA,32,22,"understory?"
"Meliaceae","Trichilia","schomburgkii",11.2,9.6775,30,"understory?",14,13.975,2,"understory?",32,22,"understory?"
"Sapotaceae","Pouteria","decorticans",11.8,10.675,31,"understory?",16,15.3,29,"understory?",60,21,"understory?"
"Malvaceae","Eriotheca","globosa",12.8,12.04,45,"understory?",15,14.725,12,"understory?",57,21,"understory?"
"Lauraceae","Ocotea","cujumary",15.2,10.3125,24,"understory?",-Inf,NA,0,NA,24,20,"understory?"
"Quiinaceae","Touroulia","guianensis",16.7,14.39,43,"understory?",15,15,17,"understory?",60,20,"understory?"
"Fabaceae","Machaerium","macrophyllum",5.6,5.4575,20,"understory?",-Inf,NA,0,NA,20,19,"understory?"
"Anacardiaceae","Thyrsodium","spruceanum",14.9,13.49,43,"understory?",13,12.8,9,"understory?",52,19,"understory?"
"Humiriaceae","Sacoglottis","ceratocarpa",11,9.63499999999999,22,"understory?",-Inf,NA,0,NA,22,18,"understory?"
"Fabaceae","Inga","heterophylla",21.3,15.3,21,"understory?",-Inf,NA,0,NA,21,18,"understory?"
"Rubiaceae","Kutchubaea","insignis",7.6,7.2875,26,"understory?",-Inf,NA,0,NA,26,18,"understory?"
"Myrsinaceae","Cybianthus","longifolius",9.4,7.525,31,"understory?",-Inf,NA,0,NA,31,18,"understory?"
"Lecythidaceae","Eschweilera","bracteosa",10.6,10.21,27,"understory?",17,15.425,22,"understory?",49,17,"understory?"
"Fabaceae","Machaerium","quinata",4.4,4.32,17,"understory?",-Inf,NA,0,NA,17,17,"understory?"
"Rubiaceae","Palicourea","amapaensis",9.2,8.045,23,"understory?",-Inf,NA,0,NA,23,16,"understory?"
"Myrtaceae","Calyptranthes","cuspidata",10.1,9.5825,24,"understory?",14,13.7,13,"understory?",37,16,"understory?"
"Moraceae","Perebea","guianensis",13,10.2925,20,"understory?",11,10.725,2,"understory?",22,16,"understory?"
"Rubiaceae","Chomelia","tenuiflora",9.7,9.325,31,"understory?",11,11,2,"understory?",33,16,"understory?"
"Arecaceae","Hyospathe","elegans",4.4,4.33,15,"understory?",-Inf,NA,0,NA,15,15,"understory?"
"Annonaceae","Guatteriopsis","friesiana",6.7,6.58,17,"understory?",-Inf,NA,0,NA,17,15,"understory?"
"Elaeocarpaceae","Sloanea","guianensis",8.3,7.445,19,"understory?",15,14.575,18,"understory?",37,15,"understory?"
"Piperaceae","Piper","gurupanum",13.5,10.0875,16,"understory?",-Inf,NA,0,NA,16,15,"understory?"
"Myrtaceae","Eugenia","illepida",5.6,5.525,16,"understory?",-Inf,NA,0,NA,16,15,"understory?"
"Hypericaceae","Vismia","sandwithii",10.7,9.32,24,"understory?",-Inf,NA,0,NA,24,15,"understory?"
"Nyctaginaceae","Pisonia","tomentosa",16.3,14.8,41,"understory?",14,14,12,"understory?",53,15,"understory?"
"Ebenaceae","Diospyros","cavalcantei",10.8,10.74,25,"understory?",-Inf,NA,0,NA,25,14,"understory?"
"Malpighiaceae","Byrsonima","crispa",16,14.92,37,"understory?",15,15,1,"understory?",38,14,"understory?"
"Sapindaceae","Talisia","japurensis",7.9,7.55,21,"understory?",-Inf,NA,0,NA,21,14,"understory?"
"Sapindaceae","Talisia","praealta",11.9,10.05,21,"understory?",-Inf,NA,0,NA,21,14,"understory?"
"Moraceae","Naucleopsis","stipularis",8.3,7.575,30,"understory?",-Inf,NA,0,NA,30,14,"understory?"
"Annonaceae","Ephedranthus","amazonicus",13.8,12.88,42,"understory?",14,13.05,39,"understory?",81,13,"understory?"
"Rubiaceae","Palicourea","corymbifera",4.5,4.47,13,"understory?",-Inf,NA,0,NA,13,13,"understory?"
"Rhizophoraceae","Sterigmapetalum","obovatum",12.6,11.79,19,"understory?",15,15,1,"understory?",20,13,"understory?"
"Melastomataceae","Miconia","phanerostila",8.6,7.79,19,"understory?",12,12,6,"understory?",25,13,"understory?"
"Salicaceae","Casearia","pitumba",11.3,11.0875,18,"understory?",11,11,2,"understory?",20,13,"understory?"
"Annonaceae","Guatteria","poeppigiana",9.6,9.14,24,"understory?",-Inf,NA,0,NA,24,13,"understory?"
"Burseraceae","Crepidospermum","rhoifolium",10.9,10.2,21,"understory?",13,13,9,"understory?",30,13,"understory?"
"Fabaceae","Andira","trifoliolata",8.4,7.3275,14,"understory?",13,12.675,14,"understory?",28,13,"understory?"
"Fabaceae","Swartzia","brachyrachis",12.6,12.12,17,"understory?",12,12,6,"understory?",23,12,"understory?"
"Ebenaceae","Diospyros","bullata",9.2,8.9375,36,"understory?",-Inf,NA,0,NA,36,11,"understory?"
"Violaceae","Paypayrola","grandiflora",11.7,11.1475,18,"understory?",18,15.375,22,"understory?",40,11,"understory?"
"Salicaceae","Casearia","negrensis",10.5,9.565,18,"understory?",11,10.9,5,"understory?",23,11,"understory?"
"Rubiaceae","Kutchubaea","sericantha",8.9,8.7875,16,"understory?",-Inf,NA,0,NA,16,11,"understory?"
"Olacaceae","Heisteria","densifrons",7.5,7.37,14,"understory?",-Inf,NA,0,NA,14,10,"understory?"
"Nyctaginaceae","Neea","madeirana",12.6,12.5,21,"understory?",14,13.95,3,"understory?",24,10,"understory?"
"Myrtaceae","Myrcia","magnoliifolia",14.8,14.135,15,"understory?",15,15,10,"understory?",25,10,"understory?"
"Arecaceae","Bactris","maraja",5.1,5.0775,10,"understory?",-Inf,NA,0,NA,10,10,"understory?"
"Elaeocarpaceae","Sloanea","nitida",8.6,8.215,12,"understory?",-Inf,NA,0,NA,12,10,"understory?"
"Sapindaceae","Matayba","peruviana",12.1,11.2225,14,"understory?",-Inf,NA,0,NA,14,10,"understory?"
"Siparunaceae","Siparuna","sarmentosa",12.4,11.875,15,"understory?",-Inf,NA,0,NA,15,10,"understory?"
"Fabaceae","Inga","auristellae",9.6,9.6,17,"understory?",11,11,1,"understory?",18,9,"understory?"
"Sapindaceae","Talisia","eximia",7.8,7.38,13,"understory?",-Inf,NA,0,NA,13,9,"understory?"
"Meliaceae","Trichilia","micrantha",12.1,10.8625,12,"understory?",14,13.55,7,"understory?",19,9,"understory?"
"Annonaceae","Pseudoxandra","obscurinervis",5.8,5.75,11,"understory?",13,13,6,"understory?",17,9,"understory?"
"Annonaceae","Guatteriopsis","blepharophylla",6.9,6.6075,10,"understory?",-Inf,NA,0,NA,10,8,"understory?"
"Urticaceae","Pourouma","cordata",7.6,7.33,10,"understory?",-Inf,NA,0,NA,10,8,"understory?"
"Rutaceae","Adiscanthus","fusciflorus",4.3,4.2825,8,"understory?",-Inf,NA,0,NA,8,8,"understory?"
"Euphorbiaceae","Conceveiba","guianensis",15.7,13.915,35,"understory?",15,14.9,3,"understory?",38,8,"understory?"
"Melastomataceae","Miconia","holosericea",7.6,7.45,11,"understory?",10,10,1,"understory?",12,8,"understory?"
"Rutaceae","Zanthoxylum","huberi",11.9,11.75,21,"understory?",13,13,1,"understory?",22,8,"understory?"
"Fabaceae","Parkia","igneiflora",13,11.7325,14,"understory?",12,12,1,"understory?",15,8,"understory?"
"Sapotaceae","Pouteria","petiolata",9.2,8.75,10,"understory?",14,13.95,3,"understory?",13,8,"understory?"
"Chrysobalanaceae","Licania","prismatocarpa",15.2,14.375,12,"understory?",11,10.975,2,"understory?",14,8,"understory?"
"Chrysobalanaceae","Licania","reticulata",7.8,7.475,11,"understory?",12,12,1,"understory?",12,8,"understory?"
"Fabaceae","Inga","suberosa",6.6,6.6,10,"understory?",14,14,2,"understory?",12,8,"understory?"
"Chrysobalanaceae","Hirtella","caudata",5.6,5.5825,8,"understory?",-Inf,NA,0,NA,8,7,"understory?"
"Quiinaceae","Lacunaria","crenata",12.6,11.825,11,"understory?",14,13.925,4,"understory?",15,7,"understory?"
"Sapindaceae","Matayba","elegans",9.8,9.28,9,"understory?",11,11,1,"understory?",10,7,"understory?"
"Meliaceae","Guarea","humaitensis",13.9,12.91,12,"understory?",15,15,40,"understory?",52,7,"understory?"
"Moraceae","Clarisia","ilicifolia",9.1,8.6325,12,"understory?",11,10.975,2,"understory?",14,7,"understory?"
"Burseraceae","Protium","pallidum",13.4,12.0725,10,"understory?",15,14.475,8,"understory?",18,7,"understory?"
"Annonaceae","Guatteria","scytophylla",8.6,8.3975,10,"understory?",11,11,1,"understory?",11,7,"understory?"
"Melastomataceae","Miconia","traillii",8.2,7.85,11,"understory?",-Inf,NA,0,NA,11,7,"understory?"
"Lacistemataceae","Lacistema","aggregatum",14.1,13.8525,12,"understory?",16,15.2,33,"understory?",45,6,"understory?"
"Sapindaceae","Matayba","guianensis",10,9.22,7,"understory?",-Inf,NA,0,NA,7,6,"understory?"
"Myristicaceae","Iryanthera","juruensis",15,14.35,14,"understory?",15,15,23,"understory?",37,6,"understory?"
"Burseraceae","Protium","krukoffii",9.1,8.575,8,"understory?",16,15.075,38,"understory?",46,6,"understory?"
"Melastomataceae","Miconia","longispicata",7.5,7.2025,8,"understory?",13,13,7,"understory?",15,6,"understory?"
"Siparunaceae","Siparuna","monogyna",6.2,6.2,8,"understory?",-Inf,NA,0,NA,8,6,"understory?"
"Chrysobalanaceae","Couepia","obovata",10.6,9.685,7,"understory?",15,14.9,3,"understory?",10,6,"understory?"
"Lauraceae","Aniba","parviflora",12.5,11.78,9,"understory?",-Inf,NA,0,NA,9,6,"understory?"
"Picramniaceae","Picramnia","antidesma",8.2,7.9,7,"understory?",-Inf,NA,0,NA,7,5,"understory?"
"Melastomataceae","Henriettea","caudata",4.4,4.39,5,"understory?",-Inf,NA,0,NA,5,5,"understory?"
"Rubiaceae","Faramea","corymbosa",12.2,11.8,17,"understory?",-Inf,NA,0,NA,17,5,"understory?"
"Malvaceae","Pachira","macrocalyx",7.4,7.35,11,"understory?",-Inf,NA,0,NA,11,5,"understory?"
"Myrtaceae","Eugenia","protenta",5.5,5.43,5,"understory?",-Inf,NA,0,NA,5,5,"understory?"
"Chrysobalanaceae","Couepia","rankiniae",14.3,13.915,12,"understory?",-Inf,NA,0,NA,12,5,"understory?"
"Lamiaceae","Vitex","triflora",12.8,12.6125,16,"understory?",13,13,8,"understory?",24,5,"understory?"
"Urticaceae","Pourouma","cecropiifolia",10.3,9.7575,8,"understory?",-Inf,NA,0,NA,8,4,"understory?"
"Solanaceae","Solanum","fulvidum",5.2,5.1625,4,"understory?",-Inf,NA,0,NA,4,4,"understory?"
"Apocynaceae","Lacmellea","gracilis",11.1,10.65,7,"understory?",12,12,4,"understory?",11,4,"understory?"
"Hypericaceae","Vismia","guianensis",9.4,9.3125,8,"understory?",14,13.975,2,"understory?",10,4,"understory?"
"Chrysobalanaceae","Licania","hirsuta",6.9,6.78,7,"understory?",15,15,11,"understory?",18,4,"understory?"
"Fabaceae","Abarema","laeta",4.2,4.185,4,"understory?",-Inf,NA,0,NA,4,4,"understory?"
"Lecythidaceae","Cariniana","legalis",5.5,5.4775,4,"understory?",-Inf,NA,0,NA,4,4,"understory?"
"Rubiaceae","Duroia","longiflora",3.8,3.7625,4,"understory?",-Inf,NA,0,NA,4,4,"understory?"
"Salicaceae","Casearia","manausensis",5.5,5.4025,4,"understory?",-Inf,NA,0,NA,4,4,"understory?"
"Myrtaceae","Calyptranthes","paniculata",10.9,10.27,7,"understory?",15,14.8,9,"understory?",16,4,"understory?"
"Violaceae","Rinorea","paniculata",5,4.91,4,"understory?",-Inf,NA,0,NA,4,4,"understory?"
"Siparunaceae","Siparuna","reginae",3.6,3.6,4,"understory?",-Inf,NA,0,NA,4,4,"understory?"
"Fabaceae","Senna","reticulata",10.8,10.23,5,"understory?",-Inf,NA,0,NA,5,4,"understory?"
"Piperaceae","Piper","amapense",4.2,4.155,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Arecaceae","Bactris","elegans",4.4,4.37,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Urticaceae","Pourouma","ferruginea",6.3,6.24,4,"understory?",-Inf,NA,0,NA,4,3,"understory?"
"Sapindaceae","Talisia","firma",7.6,7.48,5,"understory?",13,13,1,"understory?",6,3,"understory?"
"Fabaceae","Inga","graciliflora",5,4.975,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Salicaceae","Casearia","grandiflora",13.6,12.87,5,"understory?",-Inf,NA,0,NA,5,3,"understory?"
"Lacistemataceae","Lacistema","grandifolium",5.3,5.26,3,"understory?",12,12,16,"understory?",19,3,"understory?"
"Fabaceae","Stryphnodendron","guianense",5.1,5.075,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Stemonuraceae","Discophora","guianensis",10.3,9.9325,8,"understory?",-Inf,NA,0,NA,8,3,"understory?"
"Chrysobalanaceae","Hirtella","hispidula",3.9,3.9,3,"understory?",13,12.95,3,"understory?",6,3,"understory?"
"Oleaceae","Chionanthus","implicatus",5.4,5.305,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Fabaceae","Inga","laurina",8.9,8.7125,6,"understory?",-Inf,NA,0,NA,6,3,"understory?"
"Fabaceae","Swartzia","longistipitata",7.5,7.34,5,"understory?",-Inf,NA,0,NA,5,3,"understory?"
"Chrysobalanaceae","Hirtella","macrophylla",4.5,4.49,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Fabaceae","Inga","macrophylla",4.4,4.355,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Fabaceae","Hymenolobium","modestum",5.1,5.1,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Melastomataceae","Mouriri","nervosa",7.1,6.9275,4,"understory?",-Inf,NA,0,NA,4,3,"understory?"
"Myrtaceae","Eugenia","omissa",4.7,4.69,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Sapotaceae","Pouteria","pallens",5.6,5.5025,4,"understory?",16,15.35,14,"understory?",18,3,"understory?"
"Melastomataceae","Miconia","pubipetala",9.8,9.47,7,"understory?",-Inf,NA,0,NA,7,3,"understory?"
"Salicaceae","Ryania","pyrifera",4.7,4.685,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Myrtaceae","Eugenia","ramiflora",5.5,5.465,3,"understory?",-Inf,NA,0,NA,3,3,"understory?"
"Chrysobalanaceae","Hirtella","rodriguesii",6.8,6.73,5,"understory?",16,15.05,39,"understory?",44,3,"understory?"
"Lauraceae","Licaria","rodriguesii",3.9,3.87,3,"understory?",13,12.8,9,"understory?",12,3,"understory?"
"Meliaceae","Guarea","scabra",5.4,5.365,3,"understory?",15,14.85,7,"understory?",10,3,"understory?"
"Lauraceae","Endlicheria","sprucei",8.8,8.5225,4,"understory?",-Inf,NA,0,NA,4,3,"understory?"
"Euphorbiaceae","Mabea","subsessilis",6.4,6.3175,4,"understory?",11,11,1,"understory?",5,3,"understory?"
"Myristicaceae","Virola","venosa",15.1,14.875,10,"understory?",21,15,46,"understory?",56,3,"understory?"
"Lauraceae","Ocotea","amazonica",7.7,7.49,3,"understory?",10,10,2,"understory?",5,2,"understory?"
"Rhamnaceae","Ampelozizyphus","amazonicus",4.5,4.4775,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Symplocaceae","Symplocos","arechea",3.9,3.8925,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Lauraceae","Licaria","aureosericea",4.2,4.1825,2,"understory?",11,10.975,2,"understory?",4,2,"understory?"
"Peraceae","Pera","bicolor",16.3,15.04,7,"understory?",-Inf,NA,0,NA,7,2,"understory?"
"Melastomataceae","Miconia","biglandulosa",6.8,6.735,3,"understory?",-Inf,NA,0,NA,3,2,"understory?"
"Lauraceae","Endlicheria","bracteata",4.2,4.1825,2,"understory?",11,10.975,2,"understory?",4,2,"understory?"
"Chrysobalanaceae","Couepia","canomensis",10,9.9325,10,"understory?",12,11.925,4,"understory?",14,2,"understory?"
"Fabaceae","Cedrelinga","cateniformis",5.8,5.775,3,"understory?",-Inf,NA,0,NA,3,2,"understory?"
"Melastomataceae","Miconia","caudata",4.6,4.5825,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Malvaceae","Rhodognaphalopsis","duckei",5.5,5.4775,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Melastomataceae","Miconia","eriodonta",6.3,6.185,3,"understory?",-Inf,NA,0,NA,3,2,"understory?"
"Sapotaceae","Pouteria","escalarinerve",4.2,4.2,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Violaceae","Rinorea","flavescnes",3.9,3.89,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Apocynaceae","Tabernaemontana","flavicans",4.7,4.695,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Fabaceae","Derris","floribunda",4.5,4.4825,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Loganiaceae","Strychnos","froesii",3.9,3.89,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Styracaceae","Styrax","guyanensis",12.8,12.435,3,"understory?",-Inf,NA,0,NA,3,2,"understory?"
"Fabaceae","Aldina","heterophylla",3.3,3.3,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Fabaceae","Inga","huberi",7,6.87,3,"understory?",-Inf,NA,0,NA,3,2,"understory?"
"Burseraceae","Protium","macrosepalum",4.3,4.2875,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Lauraceae","Aniba","megaphylla",6.5,6.485,4,"understory?",-Inf,NA,0,NA,4,2,"understory?"
"Proteaceae","Roupala","montana",11.2,10.915,3,"understory?",-Inf,NA,0,NA,3,2,"understory?"
"Celastraceae","Salacia","multiflora",5.4,5.355,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Fabaceae","Machaerium","multifoliolatum",3.8,3.7875,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Annonaceae","Xylopia","nitida",8,7.83,3,"understory?",-Inf,NA,0,NA,3,2,"understory?"
"Fabaceae","Inga","panurensis",5.1,5.0525,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Sapindaceae","Serjania","paucidentata",4.2,4.19,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Urticaceae","Pourouma","pilosa",4.3,4.2975,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Lacistemataceae","Lacistema","polystachyum",6.2,6.07,3,"understory?",-Inf,NA,0,NA,3,2,"understory?"
"Myrsinaceae","Cybianthus","pseudoicacoreus",3.6,3.59,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Moraceae","Sorocea","pubivena",4.3,4.275,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Quiinaceae","Lacunaria","racemosa",5,4.99,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Dichapetalaceae","Dichapetalum","spruceanum",3.6,3.5975,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Sapotaceae","Micropholis","submarginalis",10.6,10.465,4,"understory?",10,10,1,"understory?",5,2,"understory?"
"Lauraceae","Ocotea","subterminalis",5,4.99,2,"understory?",15,15,9,"understory?",11,2,"understory?"
"Apocynaceae","Himatanthus","sucuuba",4.3,4.2825,2,"understory?",-Inf,NA,0,NA,2,2,"understory?"
"Rubiaceae","Morinda","triphylla",6.6,6.48,3,"understory?",-Inf,NA,0,NA,3,2,"understory?"
"Myristicaceae","Iryanthera","ulei",4.4,4.3875,2,"understory?",15,14.95,3,"understory?",5,2,"understory?"
"Fabaceae","Inga","umbellifera",4.5,4.475,2,"understory?",14,13.875,6,"understory?",8,2,"understory?"
"Lauraceae","Aniba","williamsii",12.1,11.685,3,"understory?",15,14.5,11,"understory?",14,2,"understory?"
"Clusiaceae","Garcinia","acuminata",10.3,10.155,2,"understory?",-Inf,NA,0,NA,2,1,"understory?"
"Sapindaceae","Talisia","allenii",4.4,4.4,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Annonaceae","Xylopia","amazonica",5.9,5.8575,2,"understory?",15,14.775,4,"understory?",6,1,"understory?"
"Rhabdodendraceae","Rhabdodendron","amazonicum",6.8,6.72,2,"understory?",13,13,4,"understory?",6,1,"understory?"
"Myrsinaceae","Cybianthus","amplus",3.5,3.5,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Melastomataceae","Mouriri","angulicosta",3.9,3.9,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Rubiaceae","Palicourea","anisoloba",3.8,3.8,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Rubiaceae","Psychotria","astrellantha",5.4,5.4,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Annonaceae","Xylopia","benthamii",9.1,8.9525,2,"understory?",13,13,4,"understory?",6,1,"understory?"
"Lauraceae","Ocotea","boissieriana",8.8,8.68,2,"understory?",-Inf,NA,0,NA,2,1,"understory?"
"Lauraceae","Paraia","bracteata",4.3,4.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Chrysobalanaceae","Couepia","bracteosa",6.3,6.23,2,"understory?",12,11.95,3,"understory?",5,1,"understory?"
"Fabaceae","Inga","bracteosa",6.9,6.8075,2,"understory?",-Inf,NA,0,NA,2,1,"understory?"
"Chrysobalanaceae","Hirtella","burchellii",4.2,4.2,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Moraceae","Maquira","calophylla",10.3,10.195,3,"understory?",15,14.5,21,"understory?",24,1,"understory?"
"Clusiaceae","Tovomita","carinata",3.3,3.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Sapotaceae","Micropholis","casiquiarensis",4.2,4.2,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Euphorbiaceae","Mabea","caudata",4.2,4.2,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Melastomataceae","Mouriri","cauliflora",5,5,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Fabaceae","Inga","cayennensis",3.3,3.3,1,"understory?",14,14,1,"understory?",2,1,"understory?"
"Lauraceae","Ocotea","cernua",7.2,7.155,2,"understory?",14,14,4,"understory?",6,1,"understory?"
"Lauraceae","Endlicheria","chalisea",5.6,5.565,2,"understory?",13,13,1,"understory?",3,1,"understory?"
"Meliaceae","Guarea","cinnamomea",8.4,8.385,4,"understory?",-Inf,NA,0,NA,4,1,"understory?"
"Fabaceae","Hymenaea","courbaril",4.5,4.5,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Siparunaceae","Siparuna","cristata",4.3,4.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Arecaceae","Bactris","cuspidata",4.8,4.8,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
