plantID,trip,code,genus,epithet,cii,lblade,phylotax,phylotax2,growth,btype,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,nl,np,lhm,ldm,rhs,rhf,phm,pdm,tl,td,tv,ttype,thm,tdm,il1,il2,il3,il4,il5,tl1,tl2,tl3,tl4,tl5,sf,check.ID.,dbh0,absArea,count,dL,sDens,tdmc,pdmc,ldmc,sla,ls,rgrD,cArea,cTh,RcTh,RcPos,cVol,cVol2,tL,d10c,dbhc,d1bc,d10hc,dbhhc,s1bhc,taper,sVol,sMass,HGE,bM0n,bM1n,rgrBn,LIEn,LUEn,bM0c,bM1c,rgrBc,LIEc,LUEc
121722,4,POURES,Pouteria,resinosa,1.5,simple,alternate,spiral,cont,vertical,2013,10,1128,10,1222,0,108,118,91,27,96,59,6,6,426,211,1011,1926,26,11,119,412,188,branch,207,116,0.51592,0.61668,0.60228,0.5735,0.64547,0.53032,0.44395,0.3432,0.45835,0.42956,R ,,12,NA,NA,26.28843727,0.617021277,56.03864734,42.30769231,49.53051643,NA,NA,-0.007734425,0.44484952,0.91,35.27131783,89.53488372,0.404813063,0.134937688,11.6943987,20.13,11.28,12.22,0.1,1.5,1.4,-6.220491803,252.4835765,155.7877387,1.591909621,0.263020932,0.227046714,-0.018384729,51.50657541,-3.076192221,0.185333636,0.157169498,0.171139216,16.04815512,46.4643896
121940,4,MABSPE,Mabea,speciosa,1.5,simple,alternate,distic,rhitmic,down-arched,1911,10,1508,-10,793,102,158,164,140,106,135,91,5,5,573,235,1011,2230,20,5,101,312,84,branch,95,45,17.681,17.48,15.94,15.321,15.206,15.335,11.506,11.837,10.47,12.687,N ,checked,12,NA,NA,25.74027604,0.535714286,47.36842105,25,41.0122164,NA,NA,0.028557839,0.964861644,0.58,19.07894737,92.10526316,0.559619753,0.186539918,24.83580505,19.11,15.08,7.93,0.1,1.3,2.42,-4.801604596,275.3483564,147.5080481,1.993111588,0.263020932,0.452727087,0.067881984,54.85822638,7.638413763,0.161458213,0.296152839,0.154026725,44.86156793,15.78976875
131215,4,GUSELL,Gustavia,elliptica,1,simple,alternate,spiral,cont,up-arched,1802,10,1528,-10,1118,189,274,292,260,197,140,88,5,5,835,324,1011,1931,26,8,96,425,152,branch,180,91,22.285,21.825,19.435,17.809,18.658,15.391,12.713,13.39,13.433,12.713,N ,,15,NA,NA,31.10367893,0.598684211,50.55555556,30.76923077,38.80239521,NA,NA,0.002311823,0.967610537,0.95,21.99074074,92.59259259,0.91923001,0.306410003,30.09624748,18.02,15.28,11.18,0.1,1.3,3.29,-2.13573272,343.4468718,205.6162193,2.052367277,0.447039001,0.46712994,0.005495203,64.42799932,0.667556298,0.325464523,0.341801727,0.060607522,56.94250844,6.747449627
131317,4,BUCGRA,Buchenavia,grandis,2.5,simple,alternate,spiral,rhitmic,vertical,3565,10,3046,-10,2405,60,450,508,423,340,356,241,10,10,481,209,1011,1848,14,5,109,745,484,branch,550,350,44.711,43.761,42.149,38.061,41.947,31.065,32.346,35.124,33.325,30.159,N ,,28,NA,NA,23.25796579,0.723140496,63.63636364,35.71428571,43.45114345,NA,NA,0.01052623,6.738402083,1.68,25.92592593,86.88271605,11.3205155,3.773505166,156.7215251,35.65,30.46,24.05,0.1,1.3,2,-5.912454874,1929.815048,1395.527411,0.457174825,1.970929689,2.407700489,0.025020848,65.09178606,2.786922853,2.020645873,2.517114386,0.078629016,41.34788101,11.29181131
131320,4,OURCOC,Ouratea,coccinea,2,simple,alternate,distic,cont,horizontal,3895,10,3269,-10,3044,60,466,479,391,220,354,276,5,5,534,307,1011,2056,21,10,100,655,373,branch,440,266,68.144,69.526,73.196,68.777,59.81,50.152,41.041,36.823,44.999,41.976,N ,,25,NA,NA,38.96796894,0.713136729,60.45454545,47.61904762,57.4906367,NA,NA,0.033524174,7.673654216,2.59,41.84168013,85.78352181,19.87476442,6.624921473,299.0267192,38.95,32.69,30.44,0.1,1.3,2,-4.558844765,2367.171974,1688.117279,0.360756926,1.50549699,2.848005064,0.079686963,104.9951501,4.489592361,1.482140555,2.984768632,0.144380206,63.56124421,10.77630864
131347,4,PRODEC,Protium,decandrum,1.5,odd-pinnate,alternate,distic,cont,both,3414,40,2858,-10,2614,60,314,333,274,200,230,157,1,2,633,296,1011,1859,182,67,110,646,351,branch,345,169,32.13,32.13,33.469,27.928,29.784,34.059,27.193,26.085,17.766,24.315,N ,,24,362.198,7,18.81419234,0.481481481,48.98550725,36.81318681,46.7614534,12.23641892,51.74257143,0.021831668,2.836072768,1.33,28.11839323,87.52642706,3.771976781,1.257325594,53.35841856,34.14,28.58,26.14,0.4,1.3,2,-5.05492228,1263.269472,608.2408571,0.71188904,1.366276544,2.06936166,0.051893874,25.78496528,13.17664832,0.907718551,1.433288957,0.114980517,23.42979589,25.66897479
131372,4,OCOCAN,Ocotea,canaliculata,2,simple,alternate,distic,rhitmic,horizontal,5026,10,4059,-10,3710,60,403,436,348,344,280,217,5,5,1348,545,1011,2052,65,22,122,863,867,branch,798,382,79.344,69.671,68.39,64.216,70.19,28.577,27.526,23.583,14.284,16.832,N ,,15,NA,NA,66.15090927,0.440599769,47.86967419,33.84615385,40.43026706,NA,NA,0.124433941,4.772079241,0.92,15.97222222,84.72222222,4.390312902,1.463437634,315.6773809,50.26,40.59,37.1,0.1,1.3,2,-7.048916968,3524.85133,1553.048683,0.364444467,0.447039001,4.764184545,0.295779478,66.26052747,13.67581526,0.241293599,3.271955255,0.394881106,55.5571782,17.23510656
131410,4,ESCTRU,Eschweilera,truncata,1,simple,alternate,distic,cont,horizontal,1879,10,1440,-10,1227,144,298,334,259,147,58,119,5,5,1331,705,1011,1817,57,26,115,543,248,branch,296,164,22.935,22.143,22.517,23.007,22.215,19.883,18.89,13.277,19.509,16.357,N ,,11,NA,NA,16.10782964,0.661290323,55.40540541,45.61403509,52.96769346,NA,NA,0.033666617,0.542081812,1.87,39.45147679,84.17721519,1.013692989,0.337897663,8.731761485,18.79,14.4,12.27,0.1,1.3,2.84,-2.333468796,395.6088112,261.6122784,1.77361706,0.213878389,0.405699184,0.080025548,21.52274843,21.96816714,0.15726386,0.321870065,0.177447448,13.42633112,56.46995695
131442,4,PROOPA,Protium,opacum,1,odd-pinnate,alternate,both,cont,both,2322,40,1947,-10,1756,112,327,328,284,119,168,125,1.5,3,787,409,1011,1835,247,102,112,538,301,branch,333,158,29.959,29.398,29.887,28.433,26.274,19.005,17.897,17.998,15.853,19.466,N ,,20,413.598,8,38.77814817,0.524916944,47.44744745,41.29554656,51.96950445,10.11242054,51.69975,-0.003357182,1.649336143,2.09,44.65811966,90.5982906,3.447112539,1.149037513,63.95820135,23.22,19.47,17.56,0.4,1.3,2.52,-2.606347898,602.7273966,316.3818228,1.352795797,0.885777798,0.830996812,-0.007980021,76.96563984,-0.856512301,0.611820758,0.570059685,0.049021989,70.62398172,4.593549279
131451,4,PRODEC,Protium,decandrum,2,odd-pinnate,alternate,spiral,cont,vertical,3053,10,2565,-10,2332,60,413,422,409,343,138,133,0.5,1,421,222,1011,1738,132,53,88,268,72,petiole,76,28,33.96,33.788,33.341,33.313,34.766,20.805,22.244,20.992,21.668,22.316,N ,,22,299.996,7,35.87072333,0.388888889,36.84210526,40.15151515,52.73159145,13.51333333,42.85657143,0.01918764,1.441519789,0.79,14.0569395,97.68683274,1.138800633,0.379600211,51.70835753,30.53,25.65,23.32,0.1,1.3,2,-3.824187726,1325.018875,515.285118,1.071251586,1.111002927,1.600210693,0.04560902,32.31346832,9.460903206,0.58653572,0.877081569,0.107149395,37.41029639,15.38745762
